SQL_Table_Name;1C_Metadata_Name;Table_Purpose
DbSegments;;ТабличныеПространстваБазыДанных
DbSegmentsItems;;ЭлементыСоставаТабличныхПространствБазыДанных
WebSocketClients;;WebSocketКлиенты
DbCopiesInfoBaseUse;;ИнформационнаяБаза
DbCopiesUpdateTableStat;;CтатистикаНачальногоОбновленияКопийБазыДанных
DbCopiesUpdateStat;;CтатистикаТекущегоОбновленияКопийБазыДанных
DbCopies;;СписокКопийБазыДанных
DbCopiesSettings;;НастройкиКопийБазыДанных
DbCopiesTrLogs;;ЖурналыТранзакцийКопийБазыДанных
DbCopiesTrTables;;ТаблицыТранзакцийКопийБазыДанных
DbCopiesUpdates;;ОбновленияКопийБазыДанных
DbCopiesTablesStates;;СостоянияТаблицКопийБазыДанных
DbCopiesInitialLast;;ИнформацияЗаполненияКопийБазыДанных
DbCopiesTrChanges;;ИзмененияЗаполненияКопийБазыДанных
DbCopiesTrChObj;;ОбъектыИзмененийЗаполненияКопийБазыДанных
MobileClientDataExchange;;ОбменДаннымиМобильногоКлиента
Bots;;БотыСистемыВзаимодействия
DataHistoryVersions;;ВерсииИсторииДанных
DataHistoryLatestVersions;;ПоследниеВерсииИсторииДанных
RefOpt;;НастройкиСправочников
ChrcOpt;;НастройкиПлановВидовХарактеристик
AccOpt;;НастройкиПлановСчетов
CKindsOpt;;НастройкиПлановВидовРасчетов
Reference81;Справочник.АвансовыйОтчетПрисоединенныеФайлы;Основная
Reference81.VT2286;Справочник.АвансовыйОтчетПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference81.VT2298;Справочник.АвансовыйОтчетПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2303;Справочник.АвансовыйОтчетПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference82;Справочник.АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы;Основная
Reference82.VT2324;Справочник.АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference82.VT2336;Справочник.АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2341;Справочник.АвансовыйПлатежИностранцаПоНДФЛПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference83;Справочник.АвтоматическиеСкидки;Основная
Reference83.VT2387;Справочник.АвтоматическиеСкидки.ВремяПоДнямНедели;ТабличнаяЧасть
Reference83.VT2393;Справочник.АвтоматическиеСкидки.НоменклатураГруппыЦеновыеГруппы;ТабличнаяЧасть
Reference83.VT2398;Справочник.АвтоматическиеСкидки.УсловияПредоставления;ТабличнаяЧасть
Reference83.VT2401;Справочник.АвтоматическиеСкидки.ПолучателиСкидкиКонтрагенты;ТабличнаяЧасть
Reference83.VT2404;Справочник.АвтоматическиеСкидки.ПолучателиСкидкиСклады;ТабличнаяЧасть
Reference83.VT2407;Справочник.АвтоматическиеСкидки.ПолучателиСкидкиСегменты;ТабличнаяЧасть
Reference83.VT2410;Справочник.АвтоматическиеСкидки.НаборПодарков;ТабличнаяЧасть
Reference83.VT2416;Справочник.АвтоматическиеСкидки.ДополнительныеРеквизиты;ТабличнаяЧасть
ReferenceChngR2421;Справочник.АвтоматическиеСкидки.Изменения;РегистрацияИзменений
Reference84;Справочник.АдресатыПисем;Основная
ReferenceChngR2423;Справочник.АдресатыПисем.Изменения;РегистрацияИзменений
Reference85;Справочник.АктВыполненныхРаботПрисоединенныеФайлы;Основная
Reference85.VT2444;Справочник.АктВыполненныхРаботПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference85.VT2456;Справочник.АктВыполненныхРаботПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2461;Справочник.АктВыполненныхРаботПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference86;Справочник.АктОРасхожденияхПолученныйПрисоединенныеФайлы;Основная
Reference86.VT2482;Справочник.АктОРасхожденияхПолученныйПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference86.VT2494;Справочник.АктОРасхожденияхПолученныйПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2499;Справочник.АктОРасхожденияхПолученныйПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference87;Справочник.АктОРасхожденияхПрисоединенныеФайлы;Основная
Reference87.VT2520;Справочник.АктОРасхожденияхПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference87.VT2532;Справочник.АктОРасхожденияхПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2537;Справочник.АктОРасхожденияхПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference88;Справочник.АктПроверкиСтраховыхВзносовПрисоединенныеФайлы;Основная
Reference88.VT2558;Справочник.АктПроверкиСтраховыхВзносовПрисоединенныеФайлы.УдалитьЭлектронныеПодписи;ТабличнаяЧасть
Reference88.VT2570;Справочник.АктПроверкиСтраховыхВзносовПрисоединенныеФайлы.УдалитьСертификатыШифрования;ТабличнаяЧасть
ReferenceChngR2575;Справочник.АктПроверкиСтраховыхВзносовПрисоединенныеФайлы.Изменения;РегистрацияИзменений
Reference89;Справочник.АктыОтбораПробЗЕРНО;Основная
ReferenceChngR2586;Справочник.АктыОтбораПробЗЕРНО.Изменения;РегистрацияИзменений
Reference90;Справочник.АналитикаНачисленияБонусов;Основная
ReferenceChngR2588;Справочник.АналитикаНачисленияБонусов.Изменения;РегистрацияИзменений
Reference91;Справочник.Банки;Основная
ReferenceChngR2596;Справочник.Банки.Изменения;РегистрацияИзменений
Reference92;Справочник.БанковскиеКартыКонтрагентов;Основная
ReferenceChngR2603;Справочник.БанковскиеКартыКонтрагентов.Изменения;РегистрацияИзменений
Reference93;Справочник.БанковскиеСчета;Основная
ReferenceChngR2619;Справочник.БанковскиеСчета.Изменения;РегистрацияИзменений
Reference94;Справочник.БольничныйЛистПрисоединенныеФайлы;Основная
